sequence,open_time_china,close,ema9,ema26,crossover_type,price_diff_abs,sequence_interval,time_interval_days,time_interval_hours
4,2025-01-03 06:30:00,3440.61,3451.9647366327717,3452.2215677993286,死叉,84.05999999999995,0,0.0,0.0
8,2025-01-05 15:00:00,3633.49,3638.2076498873266,3638.5334733285254,死叉,167.8699999999999,4,2.3541666666666665,56.5
15,2025-01-09 09:00:00,3353.0,3326.8994103112186,3325.532486712472,金叉,314.3699999999999,7,3.75,90.0
19,2025-01-11 01:30:00,3315.07,3273.260436391888,3272.9409446545883,金叉,84.34000000000015,4,1.6875,40.5
27,2025-01-14 06:30:00,3131.96,3088.711112186701,3086.3027987340192,金叉,124.0,8,3.2083333333333335,77.0
28,2025-01-15 18:00:00,3216.11,3223.4337050721283,3223.5927409748147,死叉,84.15000000000009,1,1.4791666666666667,35.5
29,2025-01-15 21:30:00,3298.94,3226.769924145943,3221.888668577989,金叉,82.82999999999993,1,0.14583333333333334,3.5
35,2025-01-19 22:30:00,3381.16,3270.2440790057803,3259.4629547854584,金叉,81.25,6,4.041666666666667,97.0
36,2025-01-20 06:30:00,3266.65,3319.9193356650285,3327.5804447946653,死叉,114.50999999999976,1,0.3333333333333333,8.0
37,2025-01-20 14:30:00,3416.01,3301.9459943827555,3286.3195328085585,金叉,149.36000000000013,1,0.3333333333333333,8.0
38,2025-01-21 02:00:00,3312.3,3331.24641230753,3333.7413183242447,死叉,103.71000000000004,1,0.4791666666666667,11.5
49,2025-01-28 05:00:00,3180.29,3113.7010673444915,3110.776188984326,金叉,116.15999999999985,11,7.125,171.0
61,2025-02-04 00:00:00,2698.0,2637.471666437832,2631.5696125598474,金叉,621.1199999999999,12,6.791666666666667,163.0
63,2025-02-04 20:00:00,2788.32,2748.877874564393,2748.309578700693,金叉,91.61000000000013,2,0.8333333333333334,20.0
64,2025-02-05 05:00:00,2700.1,2763.6666405304068,2773.605663561011,死叉,88.22000000000025,1,0.375,9.0
79,2025-02-13 01:00:00,2683.2,2627.7943542159064,2620.4167160809134,金叉,112.82999999999993,15,7.833333333333333,188.0
98,2025-02-24 10:00:00,2785.17,2800.916027186852,2802.466142556853,死叉,78.96000000000004,19,11.375,273.0
99,2025-02-26 04:00:00,2501.24,2441.6408367725103,2436.984956220338,金叉,283.9300000000003,1,1.75,42.0
101,2025-02-27 18:00:00,2369.02,2354.5465975856637,2352.4518899468135,金叉,87.5,2,1.5833333333333333,38.0
103,2025-02-28 23:30:00,2223.01,2172.5625542503976,2166.8555666352204,金叉,113.87999999999965,2,1.2291666666666667,29.5
108,2025-03-03 15:00:00,2376.39,2419.8768586930028,2426.2338457781216,死叉,109.28999999999996,5,2.6458333333333335,63.5
109,2025-03-05 02:30:00,2148.06,2103.5074899156625,2098.7414691266217,金叉,228.32999999999993,1,1.4791666666666667,35.5
117,2025-03-10 14:00:00,2061.1,2059.2096401225945,2059.1330360887764,金叉,124.91000000000031,8,5.479166666666667,131.5
119,2025-03-11 17:00:00,1926.41,1901.3574008473888,1898.5990928229214,金叉,92.54999999999995,2,1.125,27.0
140,2025-03-20 13:00:00,2013.0,2025.1983869919773,2025.3635963353468,死叉,100.80999999999995,21,8.833333333333334,212.0
163,2025-03-29 09:00:00,1902.84,1897.147860494535,1896.644975895371,金叉,113.37000000000012,23,8.833333333333334,212.0
179,2025-04-07 23:30:00,1556.56,1538.0321412632966,1536.7870725084722,金叉,229.75,16,9.604166666666666,230.5
186,2025-04-10 16:00:00,1595.33,1610.1705621604708,1611.1263263297406,死叉,107.79999999999995,7,2.6875,64.5
220,2025-04-24 10:30:00,1779.36,1790.6079326059953,1791.1097427915442,死叉,160.14999999999986,34,13.770833333333334,330.5
258,2025-05-11 16:00:00,2487.41,2512.9039446328143,2514.1788741980636,死叉,660.2799999999997,38,17.229166666666668,413.5
264,2025-05-14 16:30:00,2597.3,2641.45863052681,2644.1649632824647,死叉,115.51000000000022,6,3.0208333333333335,72.5
271,2025-05-18 10:30:00,2481.2,2479.4274026551084,2479.372964285539,金叉,96.85000000000036,7,3.75,90.0
283,2025-05-22 07:30:00,2550.99,2528.5505002887867,2526.7699323603597,金叉,78.19999999999982,12,3.875,93.0
284,2025-05-23 05:30:00,2635.9,2642.975553137554,2642.9869763252677,死叉,84.91000000000031,1,0.9166666666666666,22.0
289,2025-05-24 18:30:00,2570.1,2557.2817013893036,2555.345760867788,金叉,79.43000000000029,5,1.5416666666666667,37.0
302,2025-05-28 09:30:00,2634.47,2652.4790377422805,2653.8687190778132,死叉,78.87999999999965,13,3.625,87.0
309,2025-05-31 22:00:00,2538.69,2530.0846806370855,2529.077350684263,金叉,147.94999999999982,7,3.5208333333333335,84.5
323,2025-06-06 18:30:00,2481.8,2468.9682163946463,2468.6066957201065,金叉,108.06999999999971,14,5.854166666666667,140.5
334,2025-06-11 17:30:00,2759.29,2778.0192646149476,2778.7530934641413,死叉,227.09000000000015,11,4.958333333333333,119.0
337,2025-06-14 00:30:00,2561.91,2548.6875886770663,2548.1506102198255,金叉,197.3800000000001,3,2.2916666666666665,55.0
357,2025-06-23 08:30:00,2240.93,2218.4419890502427,2215.8802347708747,金叉,177.07000000000016,20,9.333333333333334,224.0
360,2025-06-25 13:30:00,2429.38,2440.5050029515287,2440.5346482084683,死叉,154.2800000000002,3,2.2083333333333335,53.0
